id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
2976042,2021-03-21,22:46:00,-0.5013846755027771,102.75794982910156,9,terra,3414,Tempuling,"Indragiri Hilir",Riau,Cluster
2995439,2021-03-23,01:23:29,0.127084476,102.556465148,8,snpp,1588,"Kuala Kampar",Pelalawan,Riau,Cluster
2817907,2021-03-14,13:17:00,0.5693164765834808,103.18776321411133,8,aqua,3414,"Kuala Kampar",Pelalawan,Riau,Cluster
2995440,2021-03-23,01:23:29,-0.25302935,102.4252243,8,snpp,1125,Rengat,"Indragiri Hulu",Riau,Cluster
2995441,2021-03-23,01:23:29,-0.505135315,102.75816535999999,8,snpp,1500,Tempuling,"Indragiri Hilir",Riau,Cluster
2818527,2021-03-14,13:29:58,0.57217763375,103.19146108562501,8,snpp,2250,"Kuala Kampar",Pelalawan,Riau,Cluster
3004050,2021-03-23,13:10:00,0.16645128279924393,102.39456176757812,8,aqua,3414,"Kuala Kampar",Pelalawan,Riau,Cluster
2984963,2021-03-22,12:38:12,-0.24938771,102.42537689,8,snpp,1125,Rengat,"Indragiri Hulu",Riau,Cluster
2984964,2021-03-22,12:38:12,0.12781641,102.55662918,8,snpp,1280,"Kuala Kampar",Pelalawan,Riau,Cluster
2818528,2021-03-14,13:29:58,0.6244992025,103.21536255,8,snpp,1500,"Kuala Kampar",Pelalawan,Riau,Cluster
2984965,2021-03-22,12:38:12,0.89527285,103.11194992,8,snpp,1280,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
3004051,2021-03-23,13:10:00,0.512050211429596,103.3244857788086,8,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2818530,2021-03-14,13:29:58,0.9673891525,103.08592987,8,snpp,1500,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
3004053,2021-03-23,13:10:00,0.9873882234096527,102.99905014038086,8,aqua,3414,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
